step,Gt,Sm_avg,Sm_std,Sm_cls_avg,Sm_task_avg,TaskHead_Sm_task,TaskAccuracy,Rm_avg,Rm_std,lambda_max_est,gamma_t,noise_std,module_loss_avg,meta_loss,cls_norm,cls_density,TaskAcc_Recent
0,30.679162979125977,30.679163059219718,52.937079062706594,0.11507683992385864,30.5640869140625,122.25634765625,0.0,0.0,0.0,-103.61625671386719,0.1800897717475891,0.05,0.0,4.238405227661133,7.512691974639893,0.048828125,0.0
100,2285.4150390625,2285.4150764495134,3957.9993770082783,0.27839821577072144,2285.13671875,9140.546875,0.0,-2.21826171875,0.001591602149707678,,0.12359935790300369,0.049800000000000004,1799.1592102050781,0.0,11.414776802062988,0.048828125,0.01
200,2844.37646484375,2844.376364056021,4926.2781601702245,0.20178895071148872,2844.174560546875,11376.6982421875,0.0,-5.56890869140625,0.0028122573323994806,,0.1263417899608612,0.049600000000000005,4481.3087158203125,0.0,9.690093040466309,0.048828125,0.0
300,181.45188903808594,181.45188773423433,313.8895005879051,0.24065134674310684,181.21124267578125,724.844970703125,0.0,-1.5388221740722656,0.0008640689293232445,,0.13158337771892548,0.0494,1232.6969299316406,0.0,10.690959930419922,0.048828125,0.01
400,5761.1279296875,5761.127756126225,9978.198773587881,0.230564147233963,5760.89697265625,23043.587890625,0.0,-2.5738525390625,0.003208847516624735,,0.12223947048187256,0.0492,2047.7174377441406,0.0,10.259536743164062,0.048828125,0.0
500,617.42529296875,617.4253054708242,1068.7959982456516,0.37366266548633575,617.0516357421875,2468.20654296875,0.0,0.14947509765625,0.0022578883438835345,,0.10708437860012054,0.049,-121.80410766601562,0.0,13.321718215942383,0.048828125,0.0
600,151.89048767089844,151.89048967137933,262.67743038539066,0.24212806299328804,151.6483612060547,606.5934448242188,0.0,0.5125236511230469,0.004114590896765984,,0.13056357204914093,0.0488,-417.9534606933594,0.0,10.623699188232422,0.048828125,0.01
700,1623.7730712890625,1623.7730410769582,2811.8857647998534,0.3376665636897087,1623.4354248046875,6493.74169921875,0.0,1.670013427734375,0.0023005882272887873,,0.13368991017341614,0.048600000000000004,-1371.1570129394531,0.0,12.623406410217285,0.048828125,0.0
800,1844.44921875,1844.4492132663727,3193.893517015937,0.4818713665008545,1843.96728515625,7375.869140625,0.0,3.157135009765625,0.005286063867017518,,0.11102825403213501,0.048400000000000006,-2601.6408081054688,0.0,14.884185791015625,0.048828125,0.01
900,472.13018798828125,472.1301752626896,817.2552765167102,0.3063516989350319,471.8238220214844,1887.2952880859375,0.0,-2.7762451171875,0.005106339567909371,,0.1231808066368103,0.0482,2291.0879516601562,0.0,11.710068702697754,0.048828125,0.0
1000,4402.7978515625,4402.797701500356,7625.3509478688975,0.3253624811768532,4402.47216796875,17609.888671875,0.0,0.1673583984375,0.009755701745395098,-103.61625671386719,0.11398524045944214,0.048,-135.29930114746094,609.1868286132812,11.773503303527832,0.048828125,0.01
1100,4939.28466796875,4939.284839399159,8554.608142624502,0.3005285710096359,4938.984375,19755.9375,0.0,-10.7197265625,0.0009134905729428568,,0.10852208733558655,0.0478,8676.48681640625,0.0,11.340649604797363,0.048828125,0.01
1200,73.38980865478516,73.38980865478516,95.17660280638542,18.45297384262085,54.93683624267578,219.74734497070312,0.0,0.3574695587158203,0.09388504840427932,,0.101445272564888,0.0476,-289.47368240356445,0.0,97.68556213378906,0.048828125,0.0
1300,5521.72216796875,5521.722158432007,9532.486314926095,18.39669942855835,5503.32568359375,22013.302734375,0.0,-0.6651611328125,0.2897122015189846,,0.11246307939291,0.047400000000000005,539.2405014038086,0.0,98.00469207763672,0.048828125,0.01
1400,6216.77001953125,6216.76984500885,10736.204736989614,18.350324153900146,6198.41943359375,24793.677734375,0.0,-1.819091796875,0.2837518046653596,,0.10339754819869995,0.047200000000000006,1488.9567260742188,0.0,98.5015869140625,0.048828125,0.02
1500,5376.71484375,5376.714804649353,9280.532361385822,18.679776191711426,5358.03515625,21432.140625,0.0,-0.5718994140625,0.08454133698079698,,0.09429362416267395,0.047,460.56080627441406,0.0,97.80013275146484,0.048828125,0.0
1600,2950.113525390625,2950.113516807556,5077.162326554917,19.03821849822998,2931.0751953125,11724.30078125,0.0,-1.22222900390625,0.021669715443711362,,0.09879010915756226,0.0468,979.3916778564453,0.0,98.8100357055664,0.048828125,0.02
1700,63.991004943847656,63.99100589752197,77.78653173621824,19.146132469177246,44.844871520996094,179.37948608398438,0.0,-0.05328559875488281,0.06141776400749733,,0.10113859176635742,0.0466,44.169620513916016,0.0,98.47200012207031,0.048828125,0.01
1800,5627.2900390625,5627.290040969849,9710.692709046214,20.37964916229248,5606.91015625,22427.640625,0.0,0.61376953125,0.09327002683053255,,0.09719567745923996,0.046400000000000004,-484.8750991821289,0.0,97.45755767822266,0.048828125,0.01
1900,9036.33984375,9036.339412212372,15615.992163650784,20.20755624771118,9016.1318359375,36064.52734375,0.0,-0.673583984375,0.07867959584115372,,0.0998993068933487,0.046200000000000005,540.1372909545898,0.0,98.0173568725586,0.048828125,0.0
2000,25.562511444091797,25.562511920928955,7.475424213885776,20.69584083557129,4.866671085357666,19.466684341430664,0.0,0.5266461372375488,0.10105454988034404,-103.61625671386719,0.10447849333286285,0.046,-417.55187225341797,3.536947727203369,96.60479736328125,0.048828125,0.0
2100,494.98748779296875,494.98748302459717,820.1526942279878,20.914546012878418,474.07293701171875,1896.291748046875,0.0,-0.2572479248046875,0.5746025480273915,,0.09418174624443054,0.0458,212.1494116783142,0.0,97.43977355957031,0.048828125,0.01
2200,4514.59423828125,4514.5943557024,7809.122117422302,5.948036074638367,4508.646484375,18034.5859375,0.0,-0.2725830078125,0.08487697266995563,,0.10005351901054382,0.0456,223.86346054077148,0.0,52.00307083129883,0.048828125,0.0
2300,16.673315048217773,16.67331437021494,28.428820671143214,0.2790886387228966,16.39422607421875,65.576904296875,0.0,0.35114574432373047,0.0032427502978586258,,0.1528584361076355,0.0454,-286.46964263916016,0.0,10.093448638916016,0.048828125,0.02
2400,280.443603515625,280.4436086639762,485.2921467596763,0.28071264177560806,280.16290283203125,1120.651611328125,0.0,2.4494400024414062,0.0011609471945146074,,0.12633016705513,0.045200000000000004,-1998.3050537109375,0.0,10.455568313598633,0.048828125,0.01
2500,2.219224214553833,2.2192243039608,2.876770971476095,0.5551397949457169,1.664084553718567,6.656338214874268,0.0,0.06210702657699585,0.05144585802321116,,0.11543960869312286,0.045000000000000005,-49.97191047668457,0.0,15.300224304199219,0.048828125,0.0
2600,696.2582397460938,696.2582583129406,1205.1878436161905,0.4651052951812744,695.7931518554688,2783.172607421875,0.0,-2.122467041015625,0.009820260754117387,,0.12323693931102753,0.0448,1744.8577880859375,0.0,13.056997299194336,0.048828125,0.02
2700,21.683677673339844,21.683677196502686,1.325091139613428,20.73240852355957,0.9512684941291809,3.8050739765167236,0.0,0.1836848258972168,0.3070331648296629,,0.09625786542892456,0.0446,-143.4140567779541,0.0,96.53626251220703,0.048828125,0.0
2800,537.9146728515625,537.9146537780762,892.5134387160351,21.693599700927734,516.2210693359375,2064.88427734375,0.0,-0.06256103515625,0.5802237122479091,,0.09594948589801788,0.0444,54.32915210723877,0.0,96.32041931152344,0.048828125,0.0
2900,1614.3292236328125,1614.3292388916016,2758.4734313765684,20.88041877746582,1593.4488525390625,6373.79541015625,0.0,0.346282958984375,0.32279161674431955,,0.09551780670881271,0.0442,-283.6186943054199,0.0,96.21389770507812,0.048828125,0.01
3000,462.9940490722656,462.9940519332886,762.40893079241,21.977688789367676,441.016357421875,1764.0654296875,0.0,0.01290130615234375,0.10226287060859403,-103.61625671386719,0.09974264353513718,0.044000000000000004,-9.327409744262695,64.04898834228516,98.30940246582031,0.048828125,0.01
3100,3732.892578125,3732.8926362991333,6422.518987920234,23.457518100738525,3709.43505859375,14837.740234375,0.0,0.39129638671875,0.31785264086156567,,0.09277035295963287,0.043800000000000006,-316.87152671813965,0.0,97.06438446044922,0.048828125,0.0
3200,4097.11083984375,4097.110830307007,7048.019118392844,26.00989818572998,4071.100830078125,16284.4033203125,0.0,1.5875244140625,0.7000501899948118,,0.09547889977693558,0.0436,-1273.305892944336,0.0,99.08301544189453,0.048828125,0.0
3300,155.87033081054688,155.87032502144575,269.03186802499386,0.5426894202828407,155.32763671875,621.310546875,0.0,0.9066734313964844,0.001814653534133269,,0.11527954787015915,0.0434,-730.3251953125,0.0,14.668621063232422,0.048828125,0.0
3400,7.542083263397217,7.542083166539669,11.905360589793355,0.65284613519907,6.889236927032471,27.556947708129883,0.0,-0.11000919342041016,0.046577203274320855,,0.1324230134487152,0.0432,89.9379415512085,0.0,15.797752380371094,0.048828125,0.0
3500,257.5086669921875,257.5086607411504,444.9116240618047,0.6292327120900154,256.8794250488281,1027.5177001953125,0.0,-1.3567886352539062,0.004344570087213998,,0.10218633711338043,0.043000000000000003,1109.4337463378906,0.0,15.136878967285156,0.048828125,0.0
3600,744.9312744140625,744.9312653541565,1251.4232340506207,21.527503967285156,723.4037475585938,2893.614990234375,0.0,0.8426971435546875,1.381856201329955,,0.11294557899236679,0.042800000000000005,-675.5984802246094,0.0,96.12675476074219,0.048828125,0.0
3700,34.07790756225586,34.07790756225586,25.673604363160507,19.30661106109619,14.771296501159668,59.08518600463867,0.0,-0.00630950927734375,0.07223230647807853,,0.09843729436397552,0.0426,4.379260540008545,0.0,97.84037780761719,0.048828125,0.03
3800,25.125652313232422,25.12565326690674,5.973657517550206,25.00581693649292,0.11983612924814224,0.47934451699256897,0.0,0.1075444221496582,0.22637460118543318,,0.10201197862625122,0.0424,-82.76923847198486,0.0,96.52566528320312,0.048828125,0.01
3900,1131.1123046875,1131.1122674942017,1906.5320259146015,27.555767059326172,1103.5565185546875,4414.22607421875,0.0,0.988677978515625,0.369688408470408,,0.09820925444364548,0.0422,-802.7599945068359,0.0,96.10237121582031,0.048828125,0.01
4000,1713.978759765625,1713.9787583053112,2967.886398709434,0.448456734418869,1713.5302734375,6854.12109375,0.0,1.773193359375,0.013001204636586983,-103.61625671386719,0.14297360181808472,0.042,-1431.1770629882812,237.15408325195312,12.320721626281738,0.048828125,0.0
