step,Gt_log,Gt_log_EMA,Sm_log_avg,Sm_log_std,Sm_log_cls_avg,Sm_log_cls_avg_generic,Sm_raw_cls_avg,TaskHead_Sm_log_task,TaskHead_Sm_raw_task,lambda_max_est,lambda_max_EMA,gamma_t,noise_std,module_loss_avg,module_policy_loss_avg,module_pred_loss_avg,meta_loss,module_entropy_avg,module_grad_norm_avg,meta_grad_norm,cls_norm,cls_density,TaskCorrect,TaskAccuracy_Recent,OOD_Accuracy,OOD_Loss
0,0.025239156559109688,0.025239156559109688,0.025239156559109688,0.00024772739571383816,0.025239156559109688,0.025123223662376404,0.02556038275361061,6.931402206420898,1024.05810546875,NaN,-0.01,0.11917372792959213,0.05,7961.457809448242,7958.845851898193,2.611895421287045,0.003479110775515437,-4533.41259765625,0.11433677755779362,0.002950002783866296,9.594871520996094,0.0498046875,0,0.0,NaN,NaN
200,0.6357705444097519,0.25407029397567626,0.6357705444097519,0.033775622128614756,0.6357705444097519,0.6168193817138672,0.8895659446716309,7.821644306182861,2502.28515625,NaN,-0.01,0.14449505507946014,0.049804,10249.872741699219,10246.621948242188,3.2510018423199654,0.035151660442352295,-4533.41259765625,396.7009667778474,0.004806423943209071,63.68613815307617,0.0498046875,0,0.005,NaN,NaN
400,0.9754907190799713,0.9262731867530819,0.9754907190799713,0.13996909460499385,0.9754907190799713,0.8980597257614136,1.679632306098938,5.326283931732178,187.340576171875,NaN,-0.01,0.19999724626541138,0.049608,8119.487060546875,8117.001892089844,2.485101655125618,0.1280977576971054,-4533.41259765625,885.0432519145303,0.2450506340346144,98.84233856201172,0.0498046875,0,0.015,NaN,NaN
600,0.3120451034628786,0.6109169980134627,0.3120451034628786,0.524206450731924,0.3120451034628786,0.009417343884706497,0.6038537656422704,6.572869300842285,848.3751831054688,NaN,-0.01,0.19999763369560242,0.049412000000000005,7460.487966537476,7457.867245674133,2.6208487034600694,0.08452846109867096,-4533.41259765625,391.1659032801868,0.02289637991061285,99.72212982177734,0.0498046875,0,0.005,NaN,NaN
800,0.30121319473255426,0.3444435260978836,0.30121319473255426,0.5178995177695946,0.30121319473255426,0.0022037688177078962,0.5802254846203141,8.021678924560547,3218.519287109375,NaN,-0.01,0.19999706745147705,0.049216,9124.462908744812,9121.303879737854,3.1587362834834494,0.04765879735350609,-4533.41259765625,590.4351757201683,0.002285928789675905,99.84136199951172,0.0498046875,0,0.0,NaN,NaN
1000,0.29381886110058986,0.3028377184148672,0.29381886110058986,0.5054436993688156,0.29381886110058986,0.002000808482989669,0.5564149095735047,7.103024959564209,1330.9119873046875,NaN,-0.01,0.1999969482421875,0.04902,8161.160460472107,8158.35013961792,2.810543775485712,0.04190203920006752,-4533.41259765625,622.1743213562476,0.0005411431873978464,99.845458984375,0.0498046875,0,0.0,NaN,NaN
1200,0.2914602661621757,0.2933561555712247,0.2914602661621757,0.5014263733555896,0.2914602661621757,0.001961616100743413,0.5489210462837946,8.183235168457031,3653.110595703125,NaN,-0.01,0.1999969184398651,0.048824000000000006,9406.923286437988,9403.70868396759,3.214443291450152,0.04059012606739998,-4533.41259765625,650.0082731414464,0.00026181185353613026,99.8669204711914,0.0498046875,0,0.0,NaN,NaN
1400,0.2877426484483294,0.2896394618840752,0.2877426484483294,0.4956682657305201,0.2877426484483294,0.001568441977724433,0.5377821877482347,8.172028541564941,3412.07080078125,NaN,-0.01,0.19999687373638153,0.048628000000000005,9393.787285804749,9390.57869052887,3.208382116717985,0.040075868368148804,-4533.41259765625,664.882045740525,0.0003060929896495944,99.86964416503906,0.0498046875,0,0.0,NaN,NaN
1600,0.2901202759530861,0.28995297095907124,0.2901202759530861,0.49953963701258147,0.2901202759530861,0.0017109343316406012,0.5450665277021471,9.191247940063477,9951.564453125,NaN,-0.01,0.19999685883522034,0.048432,10502.773303031921,10499.18184185028,3.591778055895702,0.040119241923093796,-4533.41259765625,698.4505482860046,0.00025833860513468595,99.85428619384766,0.0498046875,0,0.01,NaN,NaN
1800,0.289511054957984,0.2896094897741575,0.289511054957984,0.4987951830963687,0.289511054957984,0.0015315217897295952,0.5434260751353577,9.144015312194824,9621.5107421875,NaN,-0.01,0.19999679923057556,0.048236,10475.531914710999,10471.95809841156,3.573761195046245,0.04007171839475632,-4533.41259765625,715.5314123607282,0.000372322273098986,99.87533569335938,0.0498046875,0,0.005,NaN,NaN
