step,Gt_log,Gt_log_EMA,Rm_log_raw_avg,Rm_log_raw_std,Rm_norm_avg,Rm_norm_std,Sm_log_avg,Sm_log_cls_avg,Sm_log_std,Sm_raw_cls_avg,cls_density,cls_norm,gamma_t,lambda_max_EMA,meta_grad_norm,meta_loss,module_entropy_avg,module_grad_norm_avg,module_loss_avg,noise_std
0,0.1553284227848053,0.1553284227848053,-0.1553284227848053,0.001604339573532343,2.3134052753448486e-06,0.866026157567689,0.155328419059515,0.155328419059515,0.0013894000827055842,0.1680426225066185,0.048828125,9.171585083007812,0.2020055055618286,-100.0,1.0345494633165904,0.017645690590143204,371.60516357421875,0.0,0.0,0.05
100,0.1775599718093872,0.20675410952674445,-0.1775599718093872,0.011937012895941734,3.166496753692627e-07,0.8660255942877199,0.1775599680840969,0.1775599680840969,0.01033775882510574,0.19436370208859444,0.048828125,9.656264305114746,0.19241225719451904,-100.0,0.023385493126202944,0.028606239706277847,371.60516357421875,0.0,0.0,0.049920000000000006
200,0.2954891324043274,0.23752298802059715,-0.2954891324043274,0.025337154045701027,6.109476089477539e-07,0.8660253944266636,0.2954891175031662,0.2954891175031662,0.02194261933214169,0.3441096618771553,0.048828125,12.873283386230469,0.14760880172252655,-100.0,0.04740939402637398,0.032862406224012375,371.60516357421875,0.0,0.0,0.04984
300,0.3158363401889801,0.32154814014529953,-0.3158363401889801,0.023531785234808922,-6.332993507385254e-07,0.8660253865111635,0.3158363550901413,0.3158363550901413,0.02037912356082774,0.37169280648231506,0.048828125,13.388949394226074,0.08582539111375809,-100.0,0.07016306468091432,0.04448317736387253,371.60516357421875,0.0,0.0,0.049760000000000006
400,0.7479468584060669,0.4875591066001688,-0.7479468584060669,0.020429065451025963,-7.227063179016113e-07,0.8660257166506642,0.7479468733072281,0.7479468733072281,0.017692096125625726,1.112990826368332,0.048828125,23.60331916809082,0.054885730147361755,-100.0,0.23817310067712133,0.06742937862873077,371.60516357421875,0.0,0.0,0.04968
500,0.669061541557312,0.6943118687394988,-0.669061541557312,0.007961533963680267,1.8924474716186523e-06,0.8660250612271071,0.6690615266561508,0.6690615266561508,0.006894888036443086,0.95245061814785,0.048828125,22.033496856689453,0.05076948553323746,-100.0,0.09606964615380346,0.09606120735406876,371.60516357421875,0.0,0.0,0.049600000000000005
600,0.6713407039642334,0.7012075466134483,-0.6713407039642334,0.020708274096250534,7.450580596923828e-09,0.866026183180556,0.6713407039642334,0.6713407039642334,0.01793390813336332,0.9571758657693863,0.048828125,21.836402893066406,0.050216756761074066,-100.0,0.09428008046908914,0.09701712429523468,371.60516357421875,0.0,0.0,0.04952
700,0.8494475483894348,0.7650476976934345,-0.8494476079940796,0.01603814586997032,2.7939677238464355e-06,0.8660259242266339,0.849447563290596,0.849447563290596,0.013889449992003203,1.3385814130306244,0.048828125,25.99602699279785,0.05003967881202698,-100.0,0.2561213484411177,0.1057853177189827,371.60516357421875,0.0,0.0,0.049440000000000005
800,0.8978608846664429,0.78024330460367,-0.8978608846664429,0.012534918263554573,1.1771917343139648e-06,0.8660245433598034,0.8978608697652817,0.8978608697652817,0.010855546729396304,1.4544924795627594,0.048828125,27.09195327758789,0.05000663548707962,-100.0,0.11574100799551768,0.10794607549905777,371.60516357421875,0.0,0.0,0.04936
900,0.8295552134513855,0.7953660652410741,-0.8295552730560303,0.009682239033281803,0.0,0.8660239354550427,0.8295552730560303,0.8295552730560303,0.008385050771886659,1.2923798859119415,0.048828125,25.614688873291016,0.05000191926956177,-100.0,0.06528397961242469,0.11004638671875,371.60516357421875,0.0,0.0,0.049280000000000004
999,0.787464439868927,0.8039510895855496,-0.787464439868927,0.01871841959655285,-1.6093254089355469e-06,0.8660253961448381,0.7874644696712494,0.7874644696712494,0.016210626632704422,1.1981071531772614,0.048828125,24.3387508392334,0.050001487135887146,-100.0,0.010195008071011914,0.11123832315206528,371.60516357421875,0.0,0.0,0.0492008
