step,Gt_log,Gt_log_EMA,Sm_log_avg,Sm_log_std,Sm_log_cls_avg,Sm_raw_cls_avg,TaskHead_Sm_log_task,TaskHead_Sm_raw_task,lambda_max_est,lambda_max_EMA,gamma_t,noise_std,module_loss_avg,module_policy_loss_avg,module_pred_loss_avg,meta_loss,module_entropy_avg,module_grad_norm_avg,meta_grad_norm,cls_norm,cls_density,OOD_Accuracy,OOD_Loss
0,0.09281187877058983,0.09281187877058983,0.09281187877058983,0.0002224732538732462,0.09281187877058983,0.09725531749427319,9.735397338867188,16903.09765625,NaN,-0.01,0.10000734776258469,0.05,382.4748840332031,379.9482192993164,2.5266613140702248,0.012824158184230328,-3619.41650390625,0.017186173380375945,0.006548330926309512,19.619340896606445,0.0498046875,NaN,NaN
200,1.124199390411377,0.8316226035848561,1.124199390411377,0.06111823958429591,1.124199390411377,2.083593010902405,9.343461036682129,11484.927734375,NaN,-0.01,0.05836431682109833,0.049510000000000005,3074.6359786987305,3071.175926208496,3.4600645899772644,0.11502302438020706,-3619.41650390625,351.5067757290025,0.04250124856091312,97.59083557128906,0.0498046875,NaN,NaN
400,0.3222607518546283,0.6863217617794125,0.3222607518546283,0.518886295157546,0.3222607518546283,0.6147931001614779,9.317943572998047,11275.9228515625,NaN,-0.01,0.01001274585723877,0.04902,183.29712867736816,180.6453800201416,2.6517465258948505,0.09496204555034637,-3619.41650390625,23.668115953080882,0.0195066274469475,99.23372650146484,0.0498046875,NaN,NaN
600,0.3071020320057869,0.358517893795287,0.3071020320057869,0.5219228463174467,0.3071020320057869,0.5936328112147748,9.261324882507324,10632.306640625,NaN,-0.01,0.010016679763793945,0.048530000000000004,138.95654296875,136.33411312103271,2.622433193027973,0.04960612580180168,-3619.41650390625,10.186104953842541,0.004678615004240325,99.59840393066406,0.0498046875,NaN,NaN
800,0.3049712358042598,0.3132274500617909,0.3049712358042598,0.5169994373929171,0.3049712358042598,0.585271809133701,8.972302436828613,8427.7880859375,NaN,-0.01,0.010017797350883484,0.04804,137.0884952545166,134.540452003479,2.5480468152090907,0.04333960637450218,-3619.41650390625,12.551790399801828,0.0008184827870270665,99.7041015625,0.0498046875,NaN,NaN
1000,0.30079419596586376,0.30407601766122655,0.30079419596586376,0.5088877677758522,0.30079419596586376,0.570655673625879,9.982219696044922,22385.466796875,NaN,-0.01,0.010018154978752136,0.04755,148.1106481552124,145.31429958343506,2.7963491497794166,0.04207337647676468,-3619.41650390625,13.047760073930016,0.00045185191073147637,99.73048400878906,0.0498046875,NaN,NaN
1200,0.298199046170339,0.29926529476127334,0.298199046170339,0.5017166104419171,0.298199046170339,0.5596711083780974,9.564088821411133,15034.0302734375,NaN,-0.01,0.010018445551395416,0.047060000000000005,148.92535209655762,146.2361297607422,2.6892213707324117,0.041407741606235504,-3619.41650390625,16.478127768416574,0.0004892705638073385,99.74516296386719,0.0498046875,NaN,NaN
1400,0.29196387552656233,0.2941864496800375,0.29196387552656233,0.49084544122298207,0.29196387552656233,0.5398195523303002,4.466524124145508,162.2919158935547,NaN,-0.01,0.010018855333328247,0.04657,100.9655590057373,99.55696487426758,1.4085949363652617,0.040705010294914246,-3619.41650390625,13.745324310451913,0.000702135995984915,99.7192611694336,0.0498046875,NaN,NaN
1600,0.28755320329219103,0.2891409392840541,0.28755320329219103,0.48249135823153666,0.28755320329219103,0.525480282260105,8.861629486083984,7687.4638671875,NaN,-0.01,0.010019443929195404,0.04608,141.74661445617676,139.24365234375,2.5029606046155095,0.04000687971711159,-3619.41650390625,17.5181198404818,0.0009668038010518472,99.70452880859375,0.0498046875,NaN,NaN
1800,0.2832530976738781,0.2846928623033584,0.2832530976738781,0.47465549802040813,0.2832530976738781,0.5120332634542137,8.238855361938477,4317.50341796875,NaN,-0.01,0.010020360350608826,0.045590000000000006,137.98108100891113,135.63811492919922,2.3429670573677868,0.039391424506902695,-3619.41650390625,16.99035514877333,0.0014176735198014952,99.73910522460938,0.0498046875,NaN,NaN
2000,0.27664820465724915,0.2800468732471688,0.27664820465724915,0.46817253747629406,0.27664820465724915,0.4965233317343518,6.6412458419799805,548.48583984375,NaN,-0.01,0.01002223789691925,0.0451,116.33449268341064,114.39753341674805,1.9369596651522443,0.038748547434806824,-3619.41650390625,12.720750566275989,0.003209440829687479,99.77643585205078,0.0498046875,NaN,NaN
2200,0.27830791112501174,0.2805100516169691,0.27830791112501174,0.46881339773405273,0.27830791112501174,0.4995546240825206,9.691059112548828,17353.466796875,NaN,-0.01,0.010029077529907227,0.044610000000000004,148.85829734802246,146.15722560882568,2.7010727488668635,0.038811326026916504,-3619.41650390625,17.54064055468146,0.016773841140351853,99.77605438232422,0.0498046875,NaN,NaN
2400,0.2734850477427244,0.27578762361469267,0.2734850477427244,0.45894678551025375,0.2734850477427244,0.4840939480345696,9.150988578796387,10352.2998046875,NaN,-0.01,0.03429950028657913,0.044120000000000006,144.00802421569824,141.44679260253906,2.561232192441821,0.03815918043255806,-3619.41650390625,16.946754349887687,0.0012306836348076964,99.79986572265625,0.0498046875,NaN,NaN
2600,0.26746180234476924,0.26995726515448765,0.26746180234476924,0.4470083568584552,0.26746180234476924,0.46557901869527996,8.08817195892334,2732.76953125,NaN,-0.01,0.03475145995616913,0.04363,137.85648155212402,135.56697463989258,2.289504851680249,0.0373525470495224,-3619.41650390625,18.05645666856669,0.0001505180977898503,99.75830078125,0.0498046875,NaN,NaN
